Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-02-05T00:00:00.000Z;33.41471481;28.66795921;201.8242035;41.0838356;0.005193719;0.141440064;2.806049585;0.001107353;0.151337162;1.244233012
2022-02-06T00:00:00.000Z;33.41013718;29.15796471;201.8418732;41.69131088;0.007063739;0.141242966;2.808531284;0.001114791;0.155596718;1.125686884
2022-02-07T00:00:00.000Z;33.36893845;28.95727348;201.6768799;42.21963882;0.007125459;0.140162691;2.80546093;0.001113987;0.156158015;0.994232714
2022-02-08T00:00:00.000Z;33.40250778;28.58519173;201.4182587;42.11693954;0.004263258;0.139787316;2.818823814;0.001115661;0.149099141;0.933341682
2022-02-09T00:00:00.000Z;33.3719902;28.43577385;201.1814575;41.22742462;0.003612455;0.139255226;2.841598511;0.001115469;0.144675791;0.862055779
2022-02-10T00:00:00.000Z;33.33994675;28.41087151;201.1788788;40.60811234;0.004157919;0.13849844;2.861489058;0.001112445;0.14413628;0.822179496
2022-02-11T00:00:00.000Z;33.35215378;28.77562714;201.0100403;40.34925079;0.005521341;0.137770787;2.869656801;0.001112044;0.146174982;0.801465809
2022-02-12T00:00:00.000Z;33.33994675;28.62474442;200.7650146;40.4576149;0.005407888;0.136903629;2.871858597;0.00111547;0.146207854;0.757880926
2022-02-13T00:00:00.000Z;33.32621384;28.35960007;200.6491547;40.15623474;0.005138659;0.136459917;2.878302813;0.001118413;0.143849447;0.818896592
2022-02-14T00:00:00.000Z;33.33536911;28.27463531;201.076004;39.89286041;0.004551059;0.136553138;2.897062302;0.001124111;0.145766661;1.101771832
2022-02-15T00:00:00.000Z;33.35978317;28.95947075;201.4718933;40.6863327;0.005642552;0.136877999;2.916781425;0.001131498;0.144625485;1.153484225
2022-02-16T00:00:00.000Z;33.34147263;28.62401199;201.4246674;41.12437057;0.005013641;0.13665548;2.926018715;0.001133293;0.142779991;1.054674864
2022-02-17T00:00:00.000Z;33.33231735;28.63353348;201.3505249;40.8664093;0.003759148;0.135808796;2.93418169;0.001129851;0.137478694;0.931588888
2022-02-18T00:00:00.000Z;33.27890778;28.62401199;201.3000641;40.77002716;0.00338743;0.135160744;2.94941783;0.001122177;0.133600876;0.793274224
2022-02-19T00:00:00.000Z;33.22092438;28.45554924;201.2301636;40.57278824;0.003371662;0.134809718;2.964925051;0.001109195;0.130096689;0.727138817
2022-02-20T00:00:00.000Z;33.16141129;28.4841156;201.1076965;40.44255447;0.003379228;0.134427026;2.97581172;0.001096979;0.128812745;0.761728168
2022-02-21T00:00:00.000Z;33.1751442;28.45774651;201.1655273;40.39843369;0.003291303;0.132983744;2.965936184;0.00108137;0.130945101;0.816699266
