temp	salt	press
30.60847092	34.25404358	0.494024992
30.59920692	34.26444626	1.541375041
30.58154297	34.27557755	2.645668983
30.56464195	34.28366089	3.819494963
30.55128098	34.28960419	5.078224182
30.54244614	34.29500961	6.440614223
30.53746033	34.30039978	7.929560184
30.53482819	34.30591202	9.572997093
30.53260231	34.31167221	11.40499973
30.52901459	34.31747818	13.4671402
30.52343941	34.32318878	15.81007004
30.51530647	34.33097076	18.49555969
30.50017166	34.34399414	21.59881973
30.47458649	34.36704254	25.21141052
30.4294014	34.41442108	29.44473076
30.36660957	34.47711563	34.4341507
30.27449799	34.55721664	40.34405136
30.1411171	34.63206482	47.37369156
29.92563248	34.67491531	55.76428986
29.61925125	34.70759964	65.80726624
28.92384911	34.77376556	77.85385132
27.72069931	34.8743782	92.32607269
25.76170158	34.93925095	109.7293015
23.23512459	35.0803299	130.6660004
20.09356117	34.91931534	155.8506927
18.1947422	35.10769653	186.1255951
17.41249466	35.3330307	222.4752045
15.0825634	35.16662979	266.0403137
12.25339794	35.07086182	318.1274109
10.7378006	34.89940262	380.2130127
9.34455204	34.87507629	453.9377136
8.329240799	34.80017471	541.0889282
7.453736305	34.73377609	643.5667725
6.437311172	34.66936111	763.3331299
